"spkid","full_name","moid_ld","H","rot_per","pha"
20293726,"293726 (2007 RQ17)",7.86,22.64,,N
20297274,"297274 (1996 SK)",2.44,16.93,4.645,Y
20297300,"297300 (1998 SC15)",0.616,19.29,15,Y
20297418,"297418 (2000 SP43)",7.5,18.52,6.314,Y
20301844,"301844 (1990 UA)",4.76,19.70,,Y
20302831,"302831 (2003 FH)",4.92,19.12,13.97,Y
20306383,"306383 (1993 VD)",6.75,21.49,0.94345,Y
20307005,"307005 (2001 XP1)",7.12,18.14,,Y
20308635,"308635 (2005 YU55)",0.185,21.91,18,Y
20310442,"310442 (2000 CH59)",8.9,19.82,6.0542,Y
20311066,"311066 (2004 DC)",4.24,18.28,2.5709,Y
20312070,"312070 (2007 TA19)",7.75,19.40,,Y
20314082,"314082 Dryope (2005 CZ36)",5.38,17.50,,Y
20314212,"314212 (2005 NJ1)",8.9,18.57,,Y
20326290,"326290 Akhenaten (1998 HE3)",1.37,21.83,,Y
20330233,"330233 (2006 KV86)",0.634,18.82,,Y
20331876,"331876 (2004 CL)",9.07,20.56,,Y
20332446,"332446 (2008 AF4)",0.618,19.68,3.0472,Y
20333521,"333521 (2005 PO)",6.81,20.08,,Y
20333578,"333578 (2006 KM103)",5.3,20.18,5.737,Y
20337075,"337075 (1998 QC1)",6.81,19.81,,Y
20341843,"341843 (2008 EV5)",5.32,20.05,3.725,Y
20342866,"342866 (2008 YU32)",2.46,20.24,,Y
20344076,"344076 (1998 HJ3)",4.44,18.99,,Y
20350751,"350751 (2002 AW)",1.9,20.82,4.647,Y
20354182,"354182 (2002 DU3)",3.04,20.77,4.4,Y
20356991,"356991 (1998 QA1)",0.065,19.07,,Y
20357024,"357024 (1999 YR14)",2.77,19.47,4.2477,Y
20357028,"357028 (2000 EJ26)",2.88,19.45,,Y
20357439,"357439 (2004 BL86)",2.88,19.29,2.6205,Y
20357594,"357594 (2004 XL35)",2.73,19.63,,Y
20359369,"359369 (2009 YG)",4.56,18.52,,Y
20360191,"360191 (1988 TA)",2.22,21.08,,Y
20363027,"363027 (1998 ST27)",3.82,19.58,3,Y
20363067,"363067 (2000 CO101)",8.48,19.21,5.12,Y
20363084,"363084 (2000 RD53)",9.24,20.21,14.96,Y
20363116,"363116 (2001 GQ2)",2.44,20.32,,Y
20363599,"363599 (2004 FG11)",7.91,21.05,7.021,Y
20363734,"363734 (2004 XN50)",3.27,18.83,,Y
20365071,"365071 (2009 AV)",8.48,18.18,,Y
20366774,"366774 (2004 TB18)",7.57,17.87,,Y
20367789,"367789 (2011 AG5)",0.145,21.77,9.4357,Y
20367943,"367943 Duende (2012 DA14)",0.19,24.19,8.724,N
20368203,"368203 (2001 KO2)",3.17,20.56,,Y
20369057,"369057 (2008 DK5)",3.3,21.32,,Y
