"spkid","full_name","e","per_y","class"
20242643,"242643 (2005 NZ6)",0.8652,2.48,APO
20242708,"242708 (2005 UK1)",0.6954,3.96,APO
20244977,"244977 (2004 BE68)",0.4446,2.34,APO
20247360,"247360 (2001 XU)",0.8368,4.13,APO
20251722,"251722 (1997 US2)",0.6610,2.17,APO
20252399,"252399 (2001 TX44)",0.5459,0.818,ATE
20253841,"253841 (2003 YG118)",0.6462,3.44,APO
20255071,"255071 (2005 UH6)",0.6324,1,APO
20260141,"260141 (2004 QT24)",0.2519,1.21,APO
20264357,"264357 (2000 AZ93)",0.3600,0.645,ATE
20265482,"265482 (2005 EE)",0.3277,1.2,APO
20267131,"267131 (2000 EK26)",0.6573,3.74,APO
20267221,"267221 (2001 AD2)",0.6599,1.06,APO
20267337,"267337 (2001 VK5)",0.5142,1.43,APO
20269690,"269690 (1996 RG3)",0.6037,2.83,APO
20275677,"275677 (2000 RS11)",0.3206,1.45,APO
20276033,"276033 (2002 AJ129)",0.9149,1.6,APO
20277475,"277475 (2005 WK4)",0.2373,1.02,APO
20277570,"277570 (2005 YP180)",0.6170,1.61,APO
20279744,"279744 (1998 KM3)",0.6109,2.16,APO
20290772,"290772 (2005 VC)",0.5931,3.01,APO
20292220,"292220 (2006 SU49)",0.3118,1.68,APO
20293726,"293726 (2007 RQ17)",0.3693,1.98,APO
20297274,"297274 (1996 SK)",0.7907,3.82,APO
20297300,"297300 (1998 SC15)",0.4145,1.44,APO
20297418,"297418 (2000 SP43)",0.4669,0.731,ATE
20301844,"301844 (1990 UA)",0.5266,2.1,APO
20302831,"302831 (2003 FH)",0.5408,1.64,APO
20306383,"306383 (1993 VD)",0.5515,0.82,ATE
20307005,"307005 (2001 XP1)",0.7531,4.91,APO
20308635,"308635 (2005 YU55)",0.4305,1.24,APO
20310442,"310442 (2000 CH59)",0.4230,0.8,ATE
20311066,"311066 (2004 DC)",0.3996,2.09,APO
20312070,"312070 (2007 TA19)",0.5095,0.932,ATE
20314082,"314082 Dryope (2005 CZ36)",0.5768,3.34,APO
20314212,"314212 (2005 NJ1)",0.6508,3.11,APO
20326290,"326290 Akhenaten (1998 HE3)",0.4401,0.824,ATE
20330233,"330233 (2006 KV86)",0.3739,1.92,APO
20331876,"331876 (2004 CL)",0.5360,1.46,APO
20332446,"332446 (2008 AF4)",0.4099,1.62,APO
20333521,"333521 (2005 PO)",0.3731,1.4,APO
20333578,"333578 (2006 KM103)",0.3766,1.97,APO
20337075,"337075 (1998 QC1)",0.5900,2.79,APO
20341843,"341843 (2008 EV5)",0.0828,0.94,ATE
20342866,"342866 (2008 YU32)",0.5957,1.91,APO
20344076,"344076 (1998 HJ3)",0.7466,2.8,APO
20350751,"350751 (2002 AW)",0.2567,1.11,APO
20354182,"354182 (2002 DU3)",0.2382,1.23,APO
20356991,"356991 (1998 QA1)",0.5343,3.05,APO
20357024,"357024 (1999 YR14)",0.4001,2.12,APO
20357028,"357028 (2000 EJ26)",0.6149,1.63,APO
20357439,"357439 (2004 BL86)",0.4025,1.84,APO
20357594,"357594 (2004 XL35)",0.2784,1.58,APO
20359369,"359369 (2009 YG)",0.6956,3.16,APO
20360191,"360191 (1988 TA)",0.4787,1.91,APO
20363027,"363027 (1998 ST27)",0.5298,0.742,ATE
20363067,"363067 (2000 CO101)",0.0901,1.12,APO
20363084,"363084 (2000 RD53)",0.4278,2.39,AMO
20363116,"363116 (2001 GQ2)",0.5031,1.34,APO
20363599,"363599 (2004 FG11)",0.7240,2,APO
20363734,"363734 (2004 XN50)",0.7787,2.18,APO
20365071,"365071 (2009 AV)",0.0739,1.04,APO
20366774,"366774 (2004 TB18)",0.4508,2.44,APO
20367789,"367789 (2011 AG5)",0.3883,1.7,APO
20367943,"367943 Duende (2012 DA14)",0.0895,0.868,ATE
20368203,"368203 (2001 KO2)",0.6178,3.9,APO
20369057,"369057 (2008 DK5)",0.6151,1.94,APO
20371660,"371660 (2007 CN26)",0.2692,1.47,APO
20373135,"373135 (2011 SD173)",0.4975,2.12,APO
20374038,"374038 (2004 HW)",0.6359,4.41,APO
20374158,"374158 (2004 UL)",0.9266,1.43,APO
20374851,"374851 (2006 VV2)",0.6053,3.69,APO
20374855,"374855 (2006 VQ13)",0.4459,1.15,APO
20377097,"377097 (2002 WQ4)",0.5561,2.74,APO
20377732,"377732 (2005 XJ8)",0.6205,2.68,APO
20380636,"380636 (2004 XN14)",0.2667,0.899,ATE
20381906,"381906 (2010 CL19)",0.6456,1.92,APO
20382406,"382406 (1996 AJ1)",0.7814,1.5,APO
20382758,"382758 (2003 GY)",0.3174,1.62,APO
20382825,"382825 (2003 XB22)",0.3933,1.67,APO
20385186,"385186 (1994 AW1)",0.0756,1.16,AMO
20385343,"385343 (2002 LV)",0.6051,3.52,APO
20385605,"385605 (2005 EJ225)",0.5737,2.23,APO
20386454,"386454 (2008 XM)",0.9092,1.35,APO
20387505,"387505 (1998 KN3)",0.8734,1.91,APO
20387668,"387668 (2002 SZ)",0.4334,1.48,APO
20387746,"387746 (2003 MH4)",0.5131,2.75,APO
20388188,"388188 (2006 DP14)",0.7761,1.59,APO
20388945,"388945 (2008 TZ3)",0.3917,2.01,APO
20389694,"389694 (2011 QD48)",0.4922,1.92,APO
20390929,"390929 (2005 GP21)",0.2245,1.5,APO
20395207,"395207 (2010 HQ80)",0.4897,1.96,APO
20398188,"398188 Agni (2010 LE15)",0.2733,0.804,ATE
20399774,"399774 (2005 NB7)",0.5171,2.92,APO
20401954,"401954 (2002 RW25)",0.2866,0.749,ATE
20403775,"403775 (2011 HS4)",0.6801,0.909,ATE
20405212,"405212 (2003 QC10)",0.7314,1.61,APO
20406213,"406213 (2007 AB2)",0.5457,2.66,APO
20408792,"408792 (2000 GF2)",0.3776,1.55,APO
20410627,"410627 (2008 RG1)",0.4430,1.51,APO
20410777,"410777 (2009 FD)",0.4931,1.26,APO
20410778,"410778 (2009 FG19)",0.7190,4.97,APO
20413260,"413260 (2003 TL4)",0.3814,0.685,ATE
20413577,"413577 (2005 UL5)",0.5697,0.906,ATE
20414287,"414287 (2008 OB9)",0.7597,5.73,APO
20414990,"414990 (2011 EM51)",0.3352,1.52,APO
20415029,"415029 (2011 UL21)",0.6537,3.09,APO
20415713,"415713 (1998 XX2)",0.3676,0.638,ATE
20415745,"415745 (2000 GV147)",0.4573,2.31,APO
20416195,"416195 (2002 TR190)",0.1599,1.12,APO
20416801,"416801 (2005 GC120)",0.4975,1.3,APO
20417612,"417612 (2006 WQ29)",0.3935,2.03,APO
20417634,"417634 (2006 XG1)",0.5956,3.85,APO
20417949,"417949 (2007 TB23)",0.1977,1.42,APO
20418094,"418094 (2007 WV4)",0.4408,1.81,APO
20418135,"418135 (2008 AG33)",0.3365,1.76,APO
20418416,"418416 (2008 LV16)",0.6252,3.02,APO
20419472,"419472 (2010 DW1)",0.2002,1.36,APO
20420210,"420210 (2011 HF)",0.2347,1.45,APO
20422787,"422787 (2001 WS1)",0.6180,4.17,APO
20423321,"423321 (2005 ED318)",0.4502,2.52,AMO
20423709,"423709 (2006 BQ6)",0.4047,1.79,APO
20424482,"424482 (2008 DG5)",0.2435,1.41,APO
20425755,"425755 (2011 CP4)",0.8703,0.871,ATE
20428209,"428209 (2006 VC)",0.4922,2.71,APO
20429584,"429584 (2011 EU29)",0.6999,3.96,APO
20430544,"430544 (2002 GM2)",0.8067,3.27,APO
20430804,"430804 (2005 AD13)",0.7547,2.72,APO
20433953,"433953 (1997 XR2)",0.2009,1.12,APO
20434734,"434734 (2006 FX)",0.4382,1.83,APO
20435159,"435159 (2007 LQ19)",0.6319,4.2,APO
20435548,"435548 (2008 QT3)",0.5285,2.85,APO
20436329,"436329 (2010 GX62)",0.6989,5.12,APO
20436671,"436671 (2011 SV71)",0.6081,4.28,AMO
20436724,"436724 (2011 UW158)",0.3767,2.06,APO
20436774,"436774 (2012 KY3)",0.4864,1.37,APO
20437844,"437844 (1999 MN)",0.6653,0.553,ATE
20437905,"437905 (2001 XU30)",0.6638,3.26,APO
